-1,-4,-3,-4
-5,-3,-3,-3
0,-3,3,-5
-4,-4,0,-2
-3,-4,-2,-2
-1,-3,-1,-3
-3,-3,-2,-2
-3,-2,-1,-2
-3,-3,-1,-2
-3,-3,-1,-2
-3,-4,-7,-2
-4,-4,-2,-2
-5,-3,-3,-2
-6,-3,-3,-2
-6,-4,-2,-2
-6,-3,-3,-2
-4,-4,-1,-2
-5,-4,-1,-2
-5,-4,-1,-3
-3,-4,1,-2
-2,-4,2,-2
-3,-4,3,-3
-2,-4,2,-3
-1,-4,3,-2
0,-4,3,-2
-2,-3,3,-2
-2,-3,3,-2
-1,-4,2,-2
-2,-4,3,-2
-2,-4,3,-3
-2,-3,2,-2
-2,-3,3,-2
-5,-3,-1,-2
-6,-3,-1,-2
-5,-3,-2,-2
-5,-4,-1,-2
-4,-3,-1,-2
-5,-3,-2,-2
-4,-4,-5,-3
-6,-3,-2,-3
-6,-4,-3,-2
-6,-3,-2,-3
-4,-4,-1,-3
-4,-3,-3,-2
-3,-3,-3,-2
-3,-3,-1,-2
-2,-3,-1,-2
-2,-3,-1,-3
-3,-3,-1,-2
-2,-3,-1,-3
-2,-4,1,-3
-4,-3,2,-4
-5,-4,-1,-3
-5,-3,-1,-2
-4,-4,-2,-3
-5,-4,0,-2
-3,-3,-1,-3
-4,-4,-1,-2
-4,-3,-2,-2
-4,-4,-1,-2
-4,-2,-1,-2
-4,-4,-1,-2
-4,-2,-1,-2
-5,-3,-1,-2
-4,-2,-2,-3
-4,-4,0,-2
-2,-3,0,-2
-3,-3,0,-2
-2,-3,1,-2
-2,-4,1,-2
-2,-4,0,-2
-2,-3,1,-2
-3,-4,1,-2
-3,-4,0,-2
-3,-4,1,-3
-2,-3,0,-2
-3,-4,1,-3
-2,-4,0,-2
-3,-3,1,-3
-4,-3,1,-2
-3,-3,1,-2
-3,-3,0,-2
-2,-4,0,-2
-3,-3,1,-2
-6,-3,-3,-2
-5,-3,-3,-2
-6,-2,-4,-2
-5,-3,-4,-2
-5,-3,-4,-2
-6,-3,-4,-1
-6,-3,-3,-2
-1,-4,6,-4
-5,-4,-5,-3
-3,-3,-1,-2
-3,-3,-2,-1
-4,-3,-1,-1
0,-4,-1,-2
-1,-4,-1,-2
1,-3,-2,-2
-2,-3,-1,-2
-3,-3,-2,-1
-3,-2,-2,-2
-2,-3,-2,-2
-2,-4,-1,-2
-3,-3,-2,-1
-3,-2,-2,-2
-1,-3,-2,-1
-3,-2,-2,-1
-3,-3,-2,-1
-6,-5,-2,-4
-2,-6,-3,-4
-3,-3,-2,-4
-5,-3,-3,-2
-4,-3,-3,-2
-4,-3,-2,-3
-5,-4,-2,-3
-5,-3,-3,-2
-5,-4,-2,-1
-4,-4,-2,-2
-5,-3,-3,-1
-5,-4,-2,-2
-5,-3,-3,-2
-5,-3,-3,-2
-5,-3,-1,-2
-4,-3,-2,-2
-5,-4,-3,-2
-6,-3,-3,-2
